-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
SplitBackward                               22.149us          0.000us                1         22.149us          0.000us
torch::autograd::AccumulateGrad             22.075us          0.000us                1         22.075us          0.000us
SetItem                                     22.014us          0.000us                1         22.014us          0.000us
TanhBackward0                               22.012us          0.000us                1         22.012us          0.000us
SplitBackward                               21.990us          0.000us                1         21.990us          0.000us
cat                                         21.897us          0.000us                1         21.897us          0.000us
SetItem                                     21.839us          0.000us                1         21.839us          0.000us
torch::autograd::Add                        21.804us          0.000us                1         21.804us          0.000us
cat                                         21.751us          0.000us                1         21.751us          0.000us
cat                                         21.700us          0.000us                1         21.700us          0.000us
SplitBackward                               21.669us          0.000us                1         21.669us          0.000us
cat                                         21.585us          0.000us                1         21.585us          0.000us
addmm                                       21.542us          0.000us                1         21.542us          0.000us
cat                                         21.541us          0.000us                1         21.541us          0.000us
cat                                         21.539us          0.000us                1         21.539us          0.000us
mm                                          21.506us          0.000us                1         21.506us          0.000us
SplitBackward                               21.500us          0.000us                1         21.500us          0.000us
cat                                         21.427us          0.000us                1         21.427us          0.000us
cat                                         21.381us          0.000us                1         21.381us          0.000us
mm                                          21.349us          0.000us                1         21.349us          0.000us
SetItem                                     21.317us          0.000us                1         21.317us          0.000us
add                                         21.014us          0.000us                1         21.014us          0.000us
SetItem                                     20.914us          0.000us                1         20.914us          0.000us
cat                                         20.831us          0.000us                1         20.831us          0.000us
MulBackward1                                20.768us          0.000us                1         20.768us          0.000us
torch::autograd::Clone                      20.696us          0.000us                1         20.696us          0.000us
add                                         20.685us          0.000us                1         20.685us          0.000us
mm                                          20.658us          0.000us                1         20.658us          0.000us
torch::autograd::Add                        20.635us          0.000us                1         20.635us          0.000us
Index                                       20.625us          0.000us                1         20.625us          0.000us
add                                         20.581us          0.000us                1         20.581us          0.000us
cat                                         20.569us          0.000us                1         20.569us          0.000us
mm                                          20.491us          0.000us                1         20.491us          0.000us
sigmoid                                     20.476us          0.000us                1         20.476us          0.000us
MulBackward1                                20.437us          0.000us                1         20.437us          0.000us
MulBackward1                                20.417us          0.000us                1         20.417us          0.000us
cat                                         20.395us          0.000us                1         20.395us          0.000us
cat                                         20.317us          0.000us                1         20.317us          0.000us
SetItem                                     20.307us          0.000us                1         20.307us          0.000us
mul                                         20.305us          0.000us                1         20.305us          0.000us
_tanh_backward                              20.255us          0.000us                1         20.255us          0.000us
ExpandBackward                              20.216us          0.000us                1         20.216us          0.000us
MulBackward1                                20.210us          0.000us                1         20.210us          0.000us
ExpandBackward                              20.178us          0.000us                1         20.178us          0.000us
ExpandBackward                              20.173us          0.000us                1         20.173us          0.000us
add                                         20.117us          0.000us                1         20.117us          0.000us
cat                                         20.086us          0.000us                1         20.086us          0.000us
ExpandBackward                              20.081us          0.000us                1         20.081us          0.000us
ExpandBackward                              20.080us          0.000us                1         20.080us          0.000us
ExpandBackward                              20.011us          0.000us                1         20.011us          0.000us
SetItem                                     20.007us          0.000us                1         20.007us          0.000us
MulBackward1                                19.999us          0.000us                1         19.999us          0.000us
torch::autograd::Add                        19.964us          0.000us                1         19.964us          0.000us
cat                                         19.959us          0.000us                1         19.959us          0.000us
ExpandBackward                              19.917us          0.000us                1         19.917us          0.000us
mm                                          19.907us          0.000us                1         19.907us          0.000us
SplitBackward                               19.901us          0.000us                1         19.901us          0.000us
ExpandBackward                              19.894us          0.000us                1         19.894us          0.000us
ExpandBackward                              19.866us          0.000us                1         19.866us          0.000us
SetItem                                     19.707us          0.000us                1         19.707us          0.000us
mm                                          19.678us          0.000us                1         19.678us          0.000us
tanh                                        19.668us          0.000us                1         19.668us          0.000us
SetItem                                     19.629us          0.000us                1         19.629us          0.000us
Index                                       19.622us          0.000us                1         19.622us          0.000us
SplitBackward                               19.586us          0.000us                1         19.586us          0.000us
torch::autograd::Add                        19.558us          0.000us                1         19.558us          0.000us
sum                                         19.505us          0.000us                1         19.505us          0.000us
sum                                         19.486us          0.000us                1         19.486us          0.000us
sum                                         19.471us          0.000us                1         19.471us          0.000us
SplitBackward                               19.463us          0.000us                1         19.463us          0.000us
MulBackward1                                19.457us          0.000us                1         19.457us          0.000us
sum                                         19.393us          0.000us                1         19.393us          0.000us
SplitBackward                               19.374us          0.000us                1         19.374us          0.000us
tanh                                        19.373us          0.000us                1         19.373us          0.000us
sigmoid                                     19.359us          0.000us                1         19.359us          0.000us
sum                                         19.353us          0.000us                1         19.353us          0.000us
MulBackward1                                19.312us          0.000us                1         19.312us          0.000us
sum                                         19.306us          0.000us                1         19.306us          0.000us
MulBackward1                                19.253us          0.000us                1         19.253us          0.000us
sum                                         19.252us          0.000us                1         19.252us          0.000us
sum                                         19.251us          0.000us                1         19.251us          0.000us
ExpandBackward                              19.237us          0.000us                1         19.237us          0.000us
Index                                       19.237us          0.000us                1         19.237us          0.000us
torch::autograd::Add                        19.155us          0.000us                1         19.155us          0.000us
SetItem                                     19.099us          0.000us                1         19.099us          0.000us
SetItem                                     19.090us          0.000us                1         19.090us          0.000us
SigmoidBackward0                            19.001us          0.000us                1         19.001us          0.000us
ExpandBackward                              18.922us          0.000us                1         18.922us          0.000us
SigmoidBackward0                            18.909us          0.000us                1         18.909us          0.000us
SplitBackward                               18.896us          0.000us                1         18.896us          0.000us
SetItem                                     18.869us          0.000us                1         18.869us          0.000us
addmm                                       18.868us          0.000us                1         18.868us          0.000us
torch::autograd::Add                        18.815us          0.000us                1         18.815us          0.000us
cat                                         18.812us          0.000us                1         18.812us          0.000us
ExpandBackward                              18.754us          0.000us                1         18.754us          0.000us
SigmoidBackward0                            18.715us          0.000us                1         18.715us          0.000us
SigmoidBackward0                            18.676us          0.000us                1         18.676us          0.000us
sigmoid                                     18.660us          0.000us                1         18.660us          0.000us
SplitBackward                               18.656us          0.000us                1         18.656us          0.000us
SigmoidBackward0                            18.652us          0.000us                1         18.652us          0.000us
SigmoidBackward0                            18.604us          0.000us                1         18.604us          0.000us
cat                                         18.604us          0.000us                1         18.604us          0.000us
ExpandBackward                              18.597us          0.000us                1         18.597us          0.000us
torch::autograd::Add                        18.590us          0.000us                1         18.590us          0.000us
sum                                         18.582us          0.000us                1         18.582us          0.000us
SetItem                                     18.571us          0.000us                1         18.571us          0.000us
ExpandBackward                              18.562us          0.000us                1         18.562us          0.000us
ExpandBackward                              18.557us          0.000us                1         18.557us          0.000us
torch::autograd::Add                        18.552us          0.000us                1         18.552us          0.000us
SetItem                                     18.520us          0.000us                1         18.520us          0.000us
unsigned short                              18.498us          0.000us                1         18.498us          0.000us
TanhBackward0                               18.492us          0.000us                1         18.492us          0.000us
torch::autograd::Add                        18.450us          0.000us                1         18.450us          0.000us
ExpandBackward                              18.421us          0.000us                1         18.421us          0.000us
SetItem                                     18.399us          0.000us                1         18.399us          0.000us
SetItem                                     18.372us          0.000us                1         18.372us          0.000us
ExpandBackward                              18.359us          0.000us                1         18.359us          0.000us
ExpandBackward                              18.352us          0.000us                1         18.352us          0.000us
sum                                         18.322us          0.000us                1         18.322us          0.000us
Index                                       18.321us          0.000us                1         18.321us          0.000us
SplitBackward                               18.301us          0.000us                1         18.301us          0.000us
ExpandBackward                              18.235us          0.000us                1         18.235us          0.000us
Index                                       18.189us          0.000us                1         18.189us          0.000us
ExpandBackward                              18.187us          0.000us                1         18.187us          0.000us
SigmoidBackward0                            18.180us          0.000us                1         18.180us          0.000us
SplitBackward                               18.180us          0.000us                1         18.180us          0.000us
ExpandBackward                              18.160us          0.000us                1         18.160us          0.000us
add                                         18.154us          0.000us                1         18.154us          0.000us
ExpandBackward                              18.147us          0.000us                1         18.147us          0.000us
ExpandBackward                              18.140us          0.000us                1         18.140us          0.000us
SigmoidBackward0                            18.121us          0.000us                1         18.121us          0.000us
mm                                          18.113us          0.000us                1         18.113us          0.000us
SigmoidBackward0                            18.102us          0.000us                1         18.102us          0.000us
add                                         18.056us          0.000us                1         18.056us          0.000us
sum                                         18.033us          0.000us                1         18.033us          0.000us
ExpandBackward                              18.028us          0.000us                1         18.028us          0.000us
torch::autograd::Add                        17.991us          0.000us                1         17.991us          0.000us
SigmoidBackward0                            17.974us          0.000us                1         17.974us          0.000us
sum                                         17.973us          0.000us                1         17.973us          0.000us
sum                                         17.962us          0.000us                1         17.962us          0.000us
sum                                         17.953us          0.000us                1         17.953us          0.000us
torch::autograd::Add                        17.919us          0.000us                1         17.919us          0.000us
Index                                       17.844us          0.000us                1         17.844us          0.000us
SetItem                                     17.835us          0.000us                1         17.835us          0.000us
sum                                         17.823us          0.000us                1         17.823us          0.000us
torch::autograd::Add                        17.822us          0.000us                1         17.822us          0.000us
cat                                         17.781us          0.000us                1         17.781us          0.000us
sum                                         17.750us          0.000us                1         17.750us          0.000us
sum                                         17.750us          0.000us                1         17.750us          0.000us
Index                                       17.738us          0.000us                1         17.738us          0.000us
torch::autograd::Add                        17.726us          0.000us                1         17.726us          0.000us
mm                                          17.693us          0.000us                1         17.693us          0.000us
Index                                       17.689us          0.000us                1         17.689us          0.000us
sum                                         17.657us          0.000us                1         17.657us          0.000us
SetItem                                     17.650us          0.000us                1         17.650us          0.000us
SigmoidBackward0                            17.640us          0.000us                1         17.640us          0.000us
MulBackward1                                17.637us          0.000us                1         17.637us          0.000us
sum                                         17.636us          0.000us                1         17.636us          0.000us
SetItem                                     17.631us          0.000us                1         17.631us          0.000us
sum                                         17.613us          0.000us                1         17.613us          0.000us
sum                                         17.593us          0.000us                1         17.593us          0.000us
_sigmoid_backward                           17.591us          0.000us                1         17.591us          0.000us
sum                                         17.561us          0.000us                1         17.561us          0.000us
torch::autograd::Add                        17.553us          0.000us                1         17.553us          0.000us
add                                         17.518us          0.000us                1         17.518us          0.000us
mul                                         17.516us          0.000us                1         17.516us          0.000us
torch::autograd::Add                        17.514us          0.000us                1         17.514us          0.000us
torch::autograd::Add                        17.483us          0.000us                1         17.483us          0.000us
cat                                         17.420us          0.000us                1         17.420us          0.000us
MulBackward1                                17.390us          0.000us                1         17.390us          0.000us
SigmoidBackward0                            17.371us          0.000us                1         17.371us          0.000us
_sigmoid_backward                           17.367us          0.000us                1         17.367us          0.000us
TanhBackward0                               17.341us          0.000us                1         17.341us          0.000us
torch::autograd::Add                        17.322us          0.000us                1         17.322us          0.000us
_sigmoid_backward                           17.320us          0.000us                1         17.320us          0.000us
Index                                       17.311us          0.000us                1         17.311us          0.000us
torch::autograd::Add                        17.302us          0.000us                1         17.302us          0.000us
CatBackward                                 17.299us          0.000us                1         17.299us          0.000us
SetItem                                     17.294us          0.000us                1         17.294us          0.000us
sum                                         17.290us          0.000us                1         17.290us          0.000us
SplitBackward                               17.215us          0.000us                1         17.215us          0.000us
_sigmoid_backward                           17.195us          0.000us                1         17.195us          0.000us
SigmoidBackward0                            17.182us          0.000us                1         17.182us          0.000us
clone                                       17.157us          0.000us                1         17.157us          0.000us
_sigmoid_backward                           17.141us          0.000us                1         17.141us          0.000us
torch::autograd::Add                        17.140us          0.000us                1         17.140us          0.000us
_sigmoid_backward                           17.129us          0.000us                1         17.129us          0.000us
SigmoidBackward0                            17.110us          0.000us                1         17.110us          0.000us
torch::autograd::Add                        17.045us          0.000us                1         17.045us          0.000us
SetItem                                     17.028us          0.000us                1         17.028us          0.000us
SplitBackward                               16.995us          0.000us                1         16.995us          0.000us
_tanh_backward                              16.979us          0.000us                1         16.979us          0.000us
_sigmoid_backward                           16.950us          0.000us                1         16.950us          0.000us
add                                         16.940us          0.000us                1         16.940us          0.000us
cat                                         16.938us          0.000us                1         16.938us          0.000us
SetItem                                     16.937us          0.000us                1         16.937us          0.000us
_sigmoid_backward                           16.934us          0.000us                1         16.934us          0.000us
SigmoidBackward0                            16.931us          0.000us                1         16.931us          0.000us
cat                                         16.930us          0.000us                1         16.930us          0.000us
cat                                         16.920us          0.000us                1         16.920us          0.000us
SplitBackward                               16.914us          0.000us                1         16.914us          0.000us
MulBackward1                                16.860us          0.000us                1         16.860us          0.000us
MulBackward1                                16.832us          0.000us                1         16.832us          0.000us
SigmoidBackward0                            16.818us          0.000us                1         16.818us          0.000us
Index                                       16.812us          0.000us                1         16.812us          0.000us
addmm                                       16.808us          0.000us                1         16.808us          0.000us
SigmoidBackward0                            16.797us          0.000us                1         16.797us          0.000us
_sigmoid_backward                           16.790us          0.000us                1         16.790us          0.000us
torch::autograd::Add                        16.774us          0.000us                1         16.774us          0.000us
SplitBackward                               16.758us          0.000us                1         16.758us          0.000us
torch::autograd::Add                        16.753us          0.000us                1         16.753us          0.000us
SetItem                                     16.725us          0.000us                1         16.725us          0.000us
cat                                         16.715us          0.000us                1         16.715us          0.000us
_sigmoid_backward                           16.712us          0.000us                1         16.712us          0.000us
torch::autograd::Add                        16.686us          0.000us                1         16.686us          0.000us
SplitBackward                               16.684us          0.000us                1         16.684us          0.000us
SigmoidBackward0                            16.682us          0.000us                1         16.682us          0.000us
torch::autograd::Add                        16.659us          0.000us                1         16.659us          0.000us
SetItem                                     16.642us          0.000us                1         16.642us          0.000us
torch::autograd::Add                        16.630us          0.000us                1         16.630us          0.000us
tanh                                        16.592us          0.000us                1         16.592us          0.000us
_sigmoid_backward                           16.581us          0.000us                1         16.581us          0.000us
MulBackward1                                16.558us          0.000us                1         16.558us          0.000us
cat                                         16.555us          0.000us                1         16.555us          0.000us
tanh                                        16.527us          0.000us                1         16.527us          0.000us
SetItem                                     16.478us          0.000us                1         16.478us          0.000us
view                                        16.459us          0.000us                1         16.459us          0.000us
SetItem                                     16.452us          0.000us                1         16.452us          0.000us
SplitBackward                               16.413us          0.000us                1         16.413us          0.000us
torch::autograd::Add                        16.399us          0.000us                1         16.399us          0.000us
add                                         16.395us          0.000us                1         16.395us          0.000us
Index                                       16.368us          0.000us                1         16.368us          0.000us
sigmoid                                     16.367us          0.000us                1         16.367us          0.000us
MulBackward1                                16.362us          0.000us                1         16.362us          0.000us
SetItem                                     16.352us          0.000us                1         16.352us          0.000us
mm                                          16.342us          0.000us                1         16.342us          0.000us
torch::autograd::AccumulateGrad             16.322us          0.000us                1         16.322us          0.000us
SigmoidBackward0                            16.318us          0.000us                1         16.318us          0.000us
SetItem                                     16.287us          0.000us                1         16.287us          0.000us
torch::autograd::Add                        16.281us          0.000us                1         16.281us          0.000us
torch::autograd::Add                        16.269us          0.000us                1         16.269us          0.000us
_sigmoid_backward                           16.239us          0.000us                1         16.239us          0.000us
add                                         16.239us          0.000us                1         16.239us          0.000us
SetItem                                     16.238us          0.000us                1         16.238us          0.000us
SigmoidBackward0                            16.233us          0.000us                1         16.233us          0.000us
SetItem                                     16.216us          0.000us                1         16.216us          0.000us
SplitBackward                               16.207us          0.000us                1         16.207us          0.000us
Index                                       16.202us          0.000us                1         16.202us          0.000us
Index                                       16.200us          0.000us                1         16.200us          0.000us
add                                         16.198us          0.000us                1         16.198us          0.000us
MulBackward1                                16.189us          0.000us                1         16.189us          0.000us
SigmoidBackward0                            16.083us          0.000us                1         16.083us          0.000us
ExpandBackward                              16.041us          0.000us                1         16.041us          0.000us
SetItem                                     16.025us          0.000us                1         16.025us          0.000us
SplitBackward                               16.013us          0.000us                1         16.013us          0.000us
SetItem                                     16.001us          0.000us                1         16.001us          0.000us
torch::autograd::Add                        15.934us          0.000us                1         15.934us          0.000us
SigmoidBackward0                            15.927us          0.000us                1         15.927us          0.000us
SetItem                                     15.917us          0.000us                1         15.917us          0.000us
cat                                         15.858us          0.000us                1         15.858us          0.000us
torch::autograd::Add                        15.848us          0.000us                1         15.848us          0.000us
SetItem                                     15.831us          0.000us                1         15.831us          0.000us
cat                                         15.801us          0.000us                1         15.801us          0.000us
mul                                         15.769us          0.000us                1         15.769us          0.000us
Index                                       15.752us          0.000us                1         15.752us          0.000us
_sigmoid_backward                           15.708us          0.000us                1         15.708us          0.000us
torch::autograd::Add                        15.704us          0.000us                1         15.704us          0.000us
SetItem                                     15.667us          0.000us                1         15.667us          0.000us
MulBackward1                                15.635us          0.000us                1         15.635us          0.000us
SetItem                                     15.634us          0.000us                1         15.634us          0.000us
clone                                       15.612us          0.000us                1         15.612us          0.000us
torch::autograd::Add                        15.542us          0.000us                1         15.542us          0.000us
_sigmoid_backward                           15.533us          0.000us                1         15.533us          0.000us
_sigmoid_backward                           15.532us          0.000us                1         15.532us          0.000us
SetItem                                     15.525us          0.000us                1         15.525us          0.000us
Index                                       15.520us          0.000us                1         15.520us          0.000us
_sigmoid_backward                           15.505us          0.000us                1         15.505us          0.000us
_sigmoid_backward                           15.492us          0.000us                1         15.492us          0.000us
add                                         15.483us          0.000us                1         15.483us          0.000us
cat                                         15.476us          0.000us                1         15.476us          0.000us
torch::autograd::Add                        15.411us          0.000us                1         15.411us          0.000us
_sigmoid_backward                           15.405us          0.000us                1         15.405us          0.000us
torch::autograd::Add                        15.391us          0.000us                1         15.391us          0.000us
cat                                         15.360us          0.000us                1         15.360us          0.000us
SetItem                                     15.347us          0.000us                1         15.347us          0.000us
SplitBackward                               15.341us          0.000us                1         15.341us          0.000us
sum                                         15.261us          0.000us                1         15.261us          0.000us
add                                         15.258us          0.000us                1         15.258us          0.000us
add                                         15.223us          0.000us                1         15.223us          0.000us
mul                                         15.191us          0.000us                1         15.191us          0.000us
_sigmoid_backward                           15.179us          0.000us                1         15.179us          0.000us
_sigmoid_backward                           15.166us          0.000us                1         15.166us          0.000us
TanhBackward0                               15.142us          0.000us                1         15.142us          0.000us
ExpandBackward                              15.102us          0.000us                1         15.102us          0.000us
cat                                         15.099us          0.000us                1         15.099us          0.000us
_sigmoid_backward                           15.070us          0.000us                1         15.070us          0.000us
SetItem                                     15.020us          0.000us                1         15.020us          0.000us
torch::autograd::Add                        14.992us          0.000us                1         14.992us          0.000us
Index                                       14.945us          0.000us                1         14.945us          0.000us
torch::autograd::Add                        14.916us          0.000us                1         14.916us          0.000us
torch::autograd::Add                        14.909us          0.000us                1         14.909us          0.000us
SplitBackward                               14.908us          0.000us                1         14.908us          0.000us
torch::autograd::Clone                      14.896us          0.000us                1         14.896us          0.000us
torch::autograd::Add                        14.847us          0.000us                1         14.847us          0.000us
SetItem                                     14.840us          0.000us                1         14.840us          0.000us
sigmoid                                     14.791us          0.000us                1         14.791us          0.000us
cat                                         14.780us          0.000us                1         14.780us          0.000us
SetItem                                     14.752us          0.000us                1         14.752us          0.000us
mul                                         14.665us          0.000us                1         14.665us          0.000us
torch::autograd::Add                        14.655us          0.000us                1         14.655us          0.000us
Index                                       14.640us          0.000us                1         14.640us          0.000us
cat                                         14.631us          0.000us                1         14.631us          0.000us
Index                                       14.599us          0.000us                1         14.599us          0.000us
torch::autograd::Add                        14.578us          0.000us                1         14.578us          0.000us
torch::autograd::Add                        14.567us          0.000us                1         14.567us          0.000us
sum                                         14.562us          0.000us                1         14.562us          0.000us
Index                                       14.545us          0.000us                1         14.545us          0.000us
SplitBackward                               14.543us          0.000us                1         14.543us          0.000us
cat                                         14.525us          0.000us                1         14.525us          0.000us
torch::autograd::AccumulateGrad             14.503us          0.000us                1         14.503us          0.000us
ExpandBackward                              14.491us          0.000us                1         14.491us          0.000us
addmm                                       14.423us          0.000us                1         14.423us          0.000us
neg                                         14.311us          0.000us                1         14.311us          0.000us
add                                         14.296us          0.000us                1         14.296us          0.000us
cat                                         14.265us          0.000us                1         14.265us          0.000us
mul                                         14.263us          0.000us                1         14.263us          0.000us
add                                         14.184us          0.000us                1         14.184us          0.000us
MulBackward1                                14.148us          0.000us                1         14.148us          0.000us
torch::autograd::Add                        14.145us          0.000us                1         14.145us          0.000us
Index                                       14.134us          0.000us                1         14.134us          0.000us
Index                                       14.126us          0.000us                1         14.126us          0.000us
ExpandBackward                              14.029us          0.000us                1         14.029us          0.000us
ExpandBackward                              14.019us          0.000us                1         14.019us          0.000us
sum                                         14.012us          0.000us                1         14.012us          0.000us
TanhBackward0                               13.994us          0.000us                1         13.994us          0.000us
mul                                         13.966us          0.000us                1         13.966us          0.000us
sigmoid                                     13.959us          0.000us                1         13.959us          0.000us
Index                                       13.904us          0.000us                1         13.904us          0.000us
TanhBackward0                               13.881us          0.000us                1         13.881us          0.000us
SplitBackward                               13.880us          0.000us                1         13.880us          0.000us
mul                                         13.877us          0.000us                1         13.877us          0.000us
ExpandBackward                              13.852us          0.000us                1         13.852us          0.000us
SetItem                                     13.850us          0.000us                1         13.850us          0.000us
SetItem                                     13.812us          0.000us                1         13.812us          0.000us
ExpandBackward                              13.802us          0.000us                1         13.802us          0.000us
mul                                         13.789us          0.000us                1         13.789us          0.000us
cat                                         13.784us          0.000us                1         13.784us          0.000us
SigmoidBackward0                            13.759us          0.000us                1         13.759us          0.000us
Index                                       13.748us          0.000us                1         13.748us          0.000us
cat                                         13.722us          0.000us                1         13.722us          0.000us
_tanh_backward                              13.590us          0.000us                1         13.590us          0.000us
Index                                       13.588us          0.000us                1         13.588us          0.000us
SplitBackward                               13.547us          0.000us                1         13.547us          0.000us
ViewBackward                                13.522us          0.000us                1         13.522us          0.000us
sum                                         13.519us          0.000us                1         13.519us          0.000us
SigmoidBackward0                            13.498us          0.000us                1         13.498us          0.000us
sum                                         13.472us          0.000us                1         13.472us          0.000us
cat                                         13.466us          0.000us                1         13.466us          0.000us
torch::autograd::Add                        13.400us          0.000us                1         13.400us          0.000us
Index                                       13.384us          0.000us                1         13.384us          0.000us
sum                                         13.341us          0.000us                1         13.341us          0.000us
torch::autograd::GraphRoot                  13.335us          0.000us                1         13.335us          0.000us
sum                                         13.301us          0.000us                1         13.301us          0.000us
ExpandBackward                              13.281us          0.000us                1         13.281us          0.000us
sum                                         13.233us          0.000us                1         13.233us          0.000us
add                                         13.156us          0.000us                1         13.156us          0.000us
add                                         13.140us          0.000us                1         13.140us          0.000us
SigmoidBackward0                            13.104us          0.000us                1         13.104us          0.000us
SetItem                                     13.075us          0.000us                1         13.075us          0.000us
ExpandBackward                              13.074us          0.000us                1         13.074us          0.000us
torch::autograd::Clone                      13.026us          0.000us                1         13.026us          0.000us
add                                         12.983us          0.000us                1         12.983us          0.000us
